City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,port lincoln,-34.7333,135.8667,20.27,70,73,7.84,AU,1675986473
117,kirovskiy,45.0917,133.5136,-12.35,73,100,2.44,RU,1675986473
118,jurado,7.1053,-77.7641,25.76,85,95,0.64,CO,1675986474
119,ixtapa,20.7,-105.2,24.01,69,40,4.12,MX,1675986474
120,ahuimanu,21.4447,-157.8378,27.84,66,40,11.32,US,1675986474
121,athabasca,54.7169,-113.2854,1.23,88,97,2.32,CA,1675986184
122,lata,40.1629,-8.3327,4.95,77,0,2.64,PT,1675986475
123,kahului,20.8947,-156.47,26.01,69,40,9.77,US,1675986475
124,arraial do cabo,-22.9661,-42.0278,24.98,83,0,2.06,BR,1675986476
125,catuday,16.2923,119.8062,24.09,69,99,5.47,PH,1675986476
126,tvoroyri,61.5556,-6.8111,3.51,93,100,8.66,FO,1675986476
127,te anau,-45.4167,167.7167,16.43,46,23,0.21,NZ,1675986477
128,aksu,41.1231,80.2644,-2.65,68,98,1.54,CN,1675986477
129,carnarvon,-24.8667,113.6333,25.79,75,88,8.34,AU,1675986477
130,wahiawa,21.5028,-158.0236,26.18,59,20,9.26,US,1675986379
131,malkangiri,18.35,81.9,15.53,53,49,0.93,IN,1675986478
132,aksarka,66.5606,67.7975,-5.26,89,100,7.3,RU,1675986478
133,nanortalik,60.1432,-45.2371,-1.98,96,100,3.19,GL,1675986479
134,turayf,31.6725,38.6637,3.14,65,40,4.12,SA,1675986479
135,dakar,14.6937,-17.4441,20.49,77,89,3.09,SN,1675986302
136,castro,-24.7911,-50.0119,20.28,79,35,2.81,BR,1675986480
137,nikolskoye,59.7035,30.7861,-2.06,86,100,5.37,RU,1675986480
138,mogadishu,2.0371,45.3438,24.92,86,9,6.78,SO,1675986480
139,marawi,7.9986,124.2928,20.98,87,91,0.8,PH,1675986481
140,pierre,44.3683,-100.351,1.51,57,0,7.2,US,1675986481
141,kodiak,57.79,-152.4072,-1.27,37,0,4.63,US,1675986337
142,tevriz,57.509,72.4042,-18.49,100,97,1.26,RU,1675986482
143,san andres,12.5847,-81.7006,28.01,69,20,6.17,CO,1675986483
144,sorland,67.667,12.6934,0.92,56,100,14.22,NO,1675986484
145,grand gaube,-20.0064,57.6608,26.22,78,8,2.24,MU,1675986484
146,tias,28.9611,-13.645,14.82,59,20,3.6,ES,1675986485
147,bambous virieux,-20.3428,57.7575,26.14,78,75,3.6,MU,1675986485
148,shenkursk,62.1091,42.896,-2.33,84,94,5.98,RU,1675986486
